,Cycles,Cycles,Cycles,Instructions,IPC
,mean,min,max,mean,mean
Sparsity Level,,,,,
50,6653364.333333333,6629744.0,6699105.0,1723290.0,
55,6437480.666666667,6411585.0,6463370.0,1642137.6666666667,
60,6074749.666666667,6064543.0,6082709.0,1555103.0,
65,5813766.0,5765729.0,5842580.0,1473569.6666666667,
70,5536200.666666667,5372303.0,5704329.0,1394171.6666666667,
75,5245103.666666667,5089159.0,5465914.0,1301714.0,
80,4901195.333333333,4717823.0,5070842.0,1222172.0,
85,4574524.0,4449505.0,4662310.0,1140211.0,
90,4234092.666666667,4186965.0,4275686.0,1058838.0,
95,3915062.5,3872872.0,3942504.0,973478.0,
